image_id,mitochondria_id,decision,reason,status,evidence
C2_002_30000x,1,include,valid_mitochondrial_profile,confirmed,C2_002_30000x_mito__mitochondria_ids.png
C2_002_30000x,2,exclude,segmentation_artifact_no_valid_mitochondrial_profile,confirmed,C2_002_30000x_mito__mitochondria_ids.png
C2_002_30000x,3,exclude,segmentation_artifact_no_valid_mitochondrial_profile,confirmed,C2_002_30000x_mito__mitochondria_ids.png
C2_002_30000x,4,include,valid_mitochondrial_profile,confirmed,C2_002_30000x_mito__mitochondria_ids.png
